Date_time,T_ex,T_in,Power
1385643079,8,24.34512,26.71875
1385645132,8,24.31374,26.83035714
1385645588,8,24.28236,26.31696429
1385646246,8,24.3451,26.65178571
1385646502,8,24.3451,26.25
1385646975,8,24.3451,26.71875
1385647432,8,24.31372,27.27678571
1385647888,8,24.40784,26.76339286
1385648360,8,24.43922,27.05357143
1385648817,8,24.37648,26.96428571
1385649273,8,24.37648,26.25
1385649747,8,24.37648,26.13839286
1385650202,8,24.37648,27.5
1385650658,8,24.37648,27.25446429
1385651011,8,24.37648,26.875
1385652346,8,24.3451,27.27678571
1385652710,8,24.3451,27.16517857
1385653073,8,24.3451,26.91964286
1385653471,7,24.3451,27.1875
1385653947,7,24.3451,26.83035714
1385654402,7,24.3451,27.23214286
1385654857,7,24.3451,27.05357143
1385655332,7,24.3451,26.96428571
1385655788,7,24.3451,26.83035714
1385656242,7,24.3451,26.29464286
1385656708,7,24.3451,26.71875
1385657072,7,24.3451,26.5625
1385657508,7,24.3451,27.03125
1385657964,7,24.3451,26.5625
1385658438,7,24.3451,26.38392857
1385658894,7,24.3451,27.07589286
1385659349,7,24.3451,26.18303571
1385659822,7,24.3451,26.20535714
1385660279,7,24.3451,26.00446429
1385661613,7,24.3451,26.62946429
1385661977,7,24.37648,26.76339286
1385662341,7,24.37648,26.98660714
1385662740,7,24.37648,26.67410714
1385663215,7,24.37648,27.00892857
1385663669,7,24.37648,26.67410714
1385664124,7,24.37648,26.42857143
1385664600,7,24.37648,26.49553571
1385665055,7,24.37648,26.25
1385665510,6,24.37648,26.11607143
1385665977,6,24.37648,26.13839286
1385666338,6,24.40784,26.49553571
1385666776,6,24.40784,26.69642857
1385667232,6,24.40784,27.1875
1385667706,6,24.40784,27.12053571
1385668162,6,24.40784,26.65178571
1385668617,6,24.40784,26.98660714
1385669090,6,24.40784,26.89732143
1385669545,6,24.40784,26.96428571
1385670881,6,24.40784,26.67410714
1385671245,6,24.40784,26.69642857
1385671608,6,24.40784,26.33928571
1385672008,6,24.40784,26.62946429
1385672482,6,24.40784,26.5625
1385672937,6,24.40784,0
1385673394,6,24.40784,0
1385673868,6,24.40784,0
1385674324,6,24.40784,0
1385674779,6,24.40784,0
1385675244,6,24.40784,0
1385675608,6,24.40784,0
1385676045,6,24.40784,0
1385676499,6,24.31372,0
1385676975,6,24.31372,4.776785714
1385677429,6,24.31372,7.5
1385677885,6,24.31372,9.754464286
1385678359,6,24.31372,11.54017857
1385678814,6,24.31372,11.5625
1385680151,6,24.25098,11.83035714
1385680514,6,24.25098,11.22767857
1385680877,6,24.25098,12.20982143
1385681275,6,24.25098,12.72321429
1385681750,6,24.25098,12.45535714
1385682207,6,24.25098,12.70089286
1385682661,5,24.25098,12.52232143
1385683137,5,24.25098,12.47767857
1385683591,5,24.25098,12.72321429
1385684048,5,24.25098,12.16517857
1385684513,5,24.25098,12.52232143
1385684875,5,24.25098,13.21428571
1385685313,5,24.25098,13.19196429
1385685768,5,24.25098,13.03571429
1385686242,5,24.25098,14.21875
1385686698,5,24.25098,14.17410714
1385687153,5,24.25098,14.26339286
