time,rentals
2017-10-01 00:00:00,321
2017-10-01 01:00:00,231
2017-10-01 02:00:00,151
2017-10-01 03:00:00,102
2017-10-01 04:00:00,61
2017-10-01 05:00:00,47
2017-10-01 06:00:00,31
2017-10-01 07:00:00,46
2017-10-01 08:00:00,57
2017-10-01 09:00:00,112
2017-10-01 10:00:00,168
2017-10-01 11:00:00,241
2017-10-01 12:00:00,289
2017-10-01 13:00:00,208
2017-10-01 14:00:00,270
2017-10-01 15:00:00,288
2017-10-01 16:00:00,332
2017-10-01 17:00:00,309
2017-10-01 18:00:00,303
2017-10-01 19:00:00,318
2017-10-01 20:00:00,351
2017-10-01 21:00:00,266
2017-10-01 22:00:00,246
2017-10-01 23:00:00,215
2017-10-02 00:00:00,145
2017-10-02 01:00:00,52
2017-10-02 02:00:00,29
2017-10-02 03:00:00,11
2017-10-02 04:00:00,33
2017-10-02 05:00:00,40
2017-10-02 06:00:00,65
2017-10-02 07:00:00,147
2017-10-02 08:00:00,81
2017-10-02 16:00:00,22
2017-10-02 17:00:00,304
2017-10-02 18:00:00,367
2017-10-02 19:00:00,401
2017-10-02 20:00:00,366
2017-10-02 21:00:00,279
2017-10-02 22:00:00,256
2017-10-02 23:00:00,209
2017-10-03 00:00:00,151
2017-10-03 01:00:00,79
2017-10-03 02:00:00,41
2017-10-03 03:00:00,16
2017-10-03 04:00:00,14
2017-10-03 05:00:00,36
2017-10-03 06:00:00,54
2017-10-03 07:00:00,192
2017-10-03 08:00:00,320
2017-10-03 09:00:00,321
2017-10-03 10:00:00,253
2017-10-03 11:00:00,267
2017-10-03 12:00:00,315
2017-10-03 13:00:00,299
2017-10-03 14:00:00,326
2017-10-03 15:00:00,279
2017-10-03 16:00:00,312
2017-10-03 17:00:00,342
2017-10-03 18:00:00,432
2017-10-03 19:00:00,472
2017-10-03 20:00:00,440
2017-10-03 21:00:00,359
2017-10-03 22:00:00,329
2017-10-03 23:00:00,290
2017-10-04 00:00:00,188
2017-10-04 01:00:00,83
2017-10-04 02:00:00,50
2017-10-04 03:00:00,27
2017-10-04 04:00:00,24
2017-10-04 05:00:00,27
2017-10-04 06:00:00,69
2017-10-04 07:00:00,181
2017-10-04 08:00:00,313
2017-10-04 09:00:00,349
2017-10-04 10:00:00,303
2017-10-04 11:00:00,252
2017-10-04 12:00:00,346
2017-10-04 13:00:00,320
2017-10-04 14:00:00,270
2017-10-04 15:00:00,27
2017-10-04 17:00:00,110
2017-10-04 18:00:00,423
2017-10-04 19:00:00,467
2017-10-04 20:00:00,457
2017-10-04 21:00:00,326
2017-10-04 22:00:00,364
2017-10-04 23:00:00,342
2017-10-05 00:00:00,219
2017-10-05 01:00:00,97
2017-10-05 02:00:00,52
2017-10-05 03:00:00,26
2017-10-05 04:00:00,16
2017-10-05 05:00:00,30
2017-10-05 06:00:00,85
2017-10-05 07:00:00,189
2017-10-05 08:00:00,328
2017-10-05 09:00:00,351
2017-10-05 10:00:00,245
2017-10-05 11:00:00,244
2017-10-05 12:00:00,322
2017-10-05 13:00:00,306
2017-10-05 14:00:00,306
2017-10-05 15:00:00,279
2017-10-05 16:00:00,318
2017-10-05 17:00:00,369
2017-10-05 18:00:00,415
2017-10-05 19:00:00,484
2017-10-05 20:00:00,493
2017-10-05 21:00:00,409
2017-10-05 22:00:00,378
2017-10-05 23:00:00,338
2017-10-06 00:00:00,261
2017-10-06 01:00:00,132
2017-10-06 02:00:00,73
2017-10-06 03:00:00,34
2017-10-06 04:00:00,26
2017-10-06 05:00:00,44
2017-10-06 06:00:00,80
2017-10-06 07:00:00,205
2017-10-06 08:00:00,401
2017-10-06 09:00:00,454
2017-10-06 10:00:00,337
2017-10-06 11:00:00,309
2017-10-06 12:00:00,411
2017-10-06 13:00:00,377
2017-10-06 14:00:00,409
2017-10-06 15:00:00,366
2017-10-06 16:00:00,367
2017-10-06 17:00:00,435
2017-10-06 18:00:00,521
2017-10-06 19:00:00,591
2017-10-06 20:00:00,567
2017-10-06 21:00:00,530
2017-10-06 22:00:00,475
2017-10-06 23:00:00,470
2017-10-07 00:00:00,403
2017-10-07 01:00:00,292
2017-10-07 02:00:00,205
2017-10-07 03:00:00,144
2017-10-07 04:00:00,96
2017-10-07 05:00:00,60
2017-10-07 06:00:00,58
2017-10-07 07:00:00,107
2017-10-07 08:00:00,181
2017-10-07 09:00:00,249
2017-10-07 10:00:00,251
2017-10-07 11:00:00,300
2017-10-07 12:00:00,324
2017-10-07 13:00:00,342
2017-10-07 14:00:00,268
2017-10-07 15:00:00,298
2017-10-07 16:00:00,366
2017-10-07 17:00:00,392
2017-10-07 18:00:00,401
2017-10-07 19:00:00,485
2017-10-07 20:00:00,488
2017-10-07 21:00:00,427
2017-10-07 22:00:00,368
2017-10-07 23:00:00,424
